#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T10:09:52.100781896Z,394.28,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T10:24:10.87182822Z,394.28,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T10:38:29.181549214Z,396.01,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T10:52:47.205816641Z,398.35,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T11:07:06.889597837Z,399.82,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T11:21:23.477136408Z,403.28,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T11:35:42.082139313Z,407.09,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T11:50:04.216525803Z,406.05,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T12:04:41.035182425Z,408.3,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T12:18:58.510004526Z,408.3,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T12:33:09.782610743Z,410.04,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T12:47:26.657420878Z,410.47,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T13:01:44.595666772Z,409.95,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T13:16:01.444689533Z,412.03,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T13:30:18.081862203Z,413.33,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T13:44:34.503132393Z,413.41,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T13:58:51.065446993Z,414.19,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T14:13:07.914218861Z,412.98,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T14:27:27.847164966Z,413.5,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T14:41:44.134837097Z,413.85,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T14:56:03.127829342Z,416.19,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T15:10:17.580755919Z,417.05,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T15:24:35.837300182Z,419.91,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T15:38:55.027177444Z,420,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T15:53:11.409536102Z,417.75,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T16:07:28.968433642Z,416.88,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T16:21:47.499335556Z,418.79,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T16:36:04.521537747Z,417.66,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T16:50:22.702707464Z,416.01,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T17:04:42.792776912Z,417.92,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T17:18:59.132016295Z,416.88,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T17:33:17.627625789Z,418.09,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T17:47:35.777830106Z,417.66,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T18:01:53.471324563Z,417.83,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T18:16:12.767518234Z,418.01,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T18:30:27.911009306Z,417.31,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T18:44:45.850642519Z,416.71,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T18:59:03.786824922Z,416.45,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T19:13:19.367524401Z,415.67,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T19:27:36.974385481Z,415.67,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T19:41:54.494146329Z,415.49,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T19:56:12.264205822Z,415.49,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T20:10:29.711189627Z,415.32,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T20:24:47.959494031Z,414.71,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T20:39:05.504535276Z,414.89,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T20:53:30.639734243Z,414.19,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T21:07:41.137902604Z,415.32,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T21:21:58.814197736Z,416.71,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T21:36:15.781874137Z,416.53,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T21:50:33.012713872Z,418.09,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T22:04:49.183288379Z,418.09,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T22:19:05.077280864Z,417.92,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T22:33:22.722928133Z,416.79,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T22:47:37.424351218Z,417.4,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T23:02:10.263793132Z,418.61,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T23:16:16.259753987Z,419.31,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T23:30:33.257669557Z,419.05,altitude,data_calisti,SWS-01,orto-casa
,,0,2022-01-20T10:00:00Z,2022-01-28T15:41:16.457983556Z,2022-01-20T23:44:50.496958675Z,419.05,altitude,data_calisti,SWS-01,orto-casa
